实际值	预测值
1	1.0231962649261817
1	1.1188100756511505
1	1.0202297931250786
1	0.9823469311963895
1	1.0745904314920465
1	1.0569202333581542
1	1.0421754001136265
1	1.0456248137451554
1	1.026092545762255
1	0.9889539460983219
1	0.9838931736102499
1	1.1275519518419428
1	0.997729656694416
1	1.1565632281420688
1	1.0198324199384419
1	0.9717082331038163
1	1.1234528170063063
1	1.0561388198019737
1	0.9864598651797323
1	1.0541446416663498
1	1.025222675715146
1	0.9918919089278899
1	1.090713181673781
1	1.065107900151975
1	1.0132999579198674
1	0.9730764028745741
1	0.9889083757625298
1	1.1309132732511513
1	1.0872792544857337
1	1.0082555791596008
1	1.0735443654872314
1	1.0006910730517382
1	1.002931763748515
1	1.02253699464682
1	1.1042548266794858
1	1.0541560408328008
1	1.0983992143220602
1	0.9445409947605519
1	1.1244528515963972
1	1.1109792955249862
1	0.9728262757165209
1	1.00229140824309
1	1.0131172218717683
1	1.110348402269256
1	1.0751557356203563
2	1.367168467607319
1	0.9927485089636165
1	1.11007113388386
1	0.9164120737475943
1	1.1962971600430332
1	1.0013494475640974
1	0.9900372491155525
1	0.8778355583772482
1	1.0694809396854508
1	1.138340420120328
1	0.9650416704558031
1	1.0024628049507114
1	0.9947418812287724
2	1.074684629513696
1	0.9814865183518389
1	0.9298865279426051
1	0.9884213023791788
1	1.0672537785408114
1	1.0657155550786659
